j1,j2,j3,j4,j5,j6,j7,
-0.2,1.25,2.355,1.9,1.047,0.785,0,
-0.167404,1.24433,2.33145,1.9033,1.00226,0.7389,0.0223081,
-0.134808,1.23866,2.30789,1.9066,0.957519,0.692799,0.0446161,
-0.102213,1.23299,2.28434,1.9099,0.912778,0.646699,0.0669242,
-0.0696168,1.22732,2.26079,1.9132,0.868038,0.600599,0.0892323,
-0.037021,1.22165,2.23723,1.91651,0.823297,0.554499,0.11154,
-0.00442526,1.21598,2.21368,1.91981,0.778557,0.508398,0.133848,
0.0281705,1.21031,2.19013,1.92311,0.733816,0.462298,0.156156,
0.0607663,1.20463,2.16657,1.92641,0.689076,0.416198,0.178465,
0.0933621,1.19896,2.14302,1.92971,0.644335,0.370098,0.200773,
0.125958,1.19329,2.11947,1.93301,0.599595,0.323997,0.223081,
0.158554,1.18762,2.09591,1.93631,0.554854,0.277897,0.245389,
0.191149,1.18195,2.07236,1.93961,0.510114,0.231797,0.267697,
0.223745,1.17628,2.04881,1.94291,0.465373,0.185697,0.290005,
0.256341,1.17061,2.02525,1.94621,0.420633,0.139596,0.312313,
0.288937,1.16494,2.0017,1.94952,0.375892,0.093496,0.334621,
0.321533,1.15927,1.97815,1.95282,0.331152,0.0473957,0.356929,
0.354128,1.1536,1.95459,1.95612,0.286411,0.00129544,0.379237,
0.386724,1.14793,1.93104,1.95942,0.241671,-0.0448048,0.401545,
0.41932,1.14226,1.90749,1.96272,0.19693,-0.0909051,0.423853,
0.451916,1.13659,1.88393,1.96602,0.15219,-0.137005,0.446161,
0.484512,1.13092,1.86038,1.96932,0.107449,-0.183106,0.468469,
0.517107,1.12525,1.83683,1.97262,0.0627086,-0.229206,0.490778,
0.549703,1.11957,1.81327,1.97592,0.0179681,-0.275306,0.513086,
0.582299,1.1139,1.78972,1.97922,-0.0267725,-0.321406,0.535394,
0.614895,1.10823,1.76617,1.98253,-0.071513,-0.367507,0.557702,
0.647491,1.10256,1.74261,1.98583,-0.116253,-0.413607,0.58001,
0.680086,1.09689,1.71906,1.98913,-0.160994,-0.459707,0.602318,
0.712682,1.09122,1.69551,1.99243,-0.205735,-0.505808,0.624626,
0.745278,1.08555,1.67195,1.99573,-0.250475,-0.551908,0.646934,
0.777874,1.07988,1.6484,1.99903,-0.295216,-0.598008,0.669242,
0.81047,1.07421,1.62485,2.00233,-0.339956,-0.644108,0.69155,
0.843065,1.06854,1.60129,2.00563,-0.384697,-0.690209,0.713858,
0.875661,1.06287,1.57774,2.00893,-0.429437,-0.736309,0.736166,
0.908257,1.0572,1.55419,2.01223,-0.474178,-0.782409,0.758474,
0.940853,1.05153,1.53063,2.01554,-0.518918,-0.828509,0.780782,
0.973448,1.04586,1.50708,2.01884,-0.563659,-0.87461,0.803091,
1.00604,1.04018,1.48353,2.02214,-0.608399,-0.92071,0.825399,
1.03864,1.03451,1.45997,2.02544,-0.65314,-0.96681,0.847707,
1.07124,1.02884,1.43642,2.02874,-0.69788,-1.01291,0.870015,
1.06292,1.00098,1.40734,1.96795,-0.680203,-1.00052,0.854074,
1.05459,0.973109,1.37826,1.90716,-0.662525,-0.988123,0.838133,
1.04627,0.945241,1.34917,1.84637,-0.644848,-0.975729,0.822192,
1.03795,0.917374,1.32009,1.78558,-0.62717,-0.963336,0.806251,
1.02963,0.889506,1.29101,1.72479,-0.609492,-0.950942,0.79031,
1.02131,0.861639,1.26193,1.664,-0.591815,-0.938549,0.774369,
1.01299,0.833771,1.23285,1.60321,-0.574137,-0.926155,0.758428,
1.00467,0.805904,1.20376,1.54241,-0.55646,-0.913761,0.742488,
0.996352,0.778036,1.17468,1.48162,-0.538782,-0.901368,0.726547,
0.988031,0.750169,1.1456,1.42083,-0.521105,-0.888974,0.710606,
0.979711,0.722301,1.11652,1.36004,-0.503427,-0.87658,0.694665,
0.97139,0.694434,1.08743,1.29925,-0.48575,-0.864187,0.678724,
0.96307,0.666566,1.05835,1.23846,-0.468072,-0.851793,0.662783,
0.954749,0.638699,1.02927,1.17767,-0.450394,-0.839399,0.646842,
0.946429,0.610831,1.00019,1.11688,-0.432717,-0.827006,0.630901,
0.938108,0.582964,0.971105,1.05609,-0.415039,-0.814612,0.61496,
0.904403,0.562675,0.922645,1.00951,-0.398314,-0.817,0.628598,
0.870698,0.542387,0.874185,0.962938,-0.381589,-0.819388,0.642236,
0.836993,0.522098,0.825725,0.916362,-0.364864,-0.821777,0.655874,
0.803288,0.501809,0.777265,0.869785,-0.348139,-0.824165,0.669512,
0.769583,0.481521,0.728805,0.823209,-0.331413,-0.826553,0.68315,
0.735878,0.461232,0.680344,0.776633,-0.314688,-0.828941,0.696788,
0.702173,0.440943,0.631884,0.730056,-0.297963,-0.831329,0.710426,
0.668468,0.420655,0.583424,0.68348,-0.281238,-0.833717,0.724064,
0.634762,0.400366,0.534964,0.636903,-0.264513,-0.836106,0.737702,
0.601057,0.380078,0.486504,0.590327,-0.247788,-0.838494,0.75134,
0.567352,0.359789,0.438044,0.543751,-0.231062,-0.840882,0.764978,
0.533647,0.3395,0.389584,0.497174,-0.214337,-0.84327,0.778616,
0.499942,0.319212,0.341124,0.450598,-0.197612,-0.845658,0.792254,
0.466237,0.298923,0.292664,0.404022,-0.180887,-0.848046,0.805892,
0.432532,0.278634,0.244204,0.357445,-0.164162,-0.850435,0.81953,
0.398827,0.258346,0.195744,0.310869,-0.147436,-0.852823,0.833168,
0.365122,0.238057,0.147284,0.264292,-0.130711,-0.855211,0.846806,
0.331416,0.217768,0.0988235,0.217716,-0.113986,-0.857599,0.860444,
0.297711,0.19748,0.0503634,0.17114,-0.0972609,-0.859987,0.874082,
0.264006,0.177191,0.00190333,0.124563,-0.0805357,-0.862375,0.88772,
0.230301,0.156902,-0.0465567,0.0779869,-0.0638105,-0.864764,0.901358,
0.196596,0.136614,-0.0950168,0.0314105,-0.0470853,-0.867152,0.914996,
0.162891,0.116325,-0.143477,-0.0151659,-0.0303601,-0.86954,0.928634,
0.129186,0.0960365,-0.191937,-0.0617423,-0.0136349,-0.871928,0.942272,
0.0954807,0.0757478,-0.240397,-0.108319,0.00309025,-0.874316,0.95591,
0.0617756,0.0554592,-0.288857,-0.154895,0.0198154,-0.876704,0.969548,
0.0280705,0.0351705,-0.337317,-0.201471,0.0365406,-0.879093,0.983186,
-0.00563466,0.0148819,-0.385777,-0.248048,0.0532658,-0.881481,0.996824,
-0.0393398,-0.00540678,-0.434237,-0.294624,0.069991,-0.883869,1.01046,
-0.0730449,-0.0256954,-0.482697,-0.341201,0.0867162,-0.886257,1.0241,
-0.10675,-0.0459841,-0.531158,-0.387777,0.103441,-0.888645,1.03774,
-0.140455,-0.0662727,-0.579618,-0.434353,0.120167,-0.891033,1.05138,
-0.17416,-0.0865614,-0.628078,-0.48093,0.136892,-0.893422,1.06501,
-0.201311,-0.0902221,-0.674766,-0.523745,0.148224,-0.911921,1.09569,
-0.228461,-0.0938829,-0.721454,-0.566561,0.159556,-0.930421,1.12636,
-0.255612,-0.0975436,-0.768143,-0.609376,0.170889,-0.948921,1.15703,
-0.282762,-0.101204,-0.814831,-0.652192,0.182221,-0.96742,1.1877,
-0.309913,-0.104865,-0.861519,-0.695007,0.193553,-0.98592,1.21837,
-0.337063,-0.108526,-0.908208,-0.737823,0.204886,-1.00442,1.24904,
-0.364214,-0.112187,-0.954896,-0.780638,0.216218,-1.02292,1.27971,
-0.391364,-0.115847,-1.00158,-0.823454,0.227551,-1.04142,1.31038,
-0.418515,-0.119508,-1.04827,-0.866269,0.238883,-1.05992,1.34105,
-0.445665,-0.123169,-1.09496,-0.909085,0.250215,-1.07842,1.37172,
-0.472816,-0.12683,-1.14165,-0.9519,0.261548,-1.09692,1.40239,
-0.499966,-0.13049,-1.18834,-0.994716,0.27288,-1.11542,1.43306,
-0.527117,-0.134151,-1.23503,-1.03753,0.284212,-1.13392,1.46373,
-0.554267,-0.137812,-1.28171,-1.08035,0.295545,-1.15242,1.4944,
-0.581418,-0.141473,-1.3284,-1.12316,0.306877,-1.17092,1.52507,
-0.608568,-0.145133,-1.37509,-1.16598,0.318209,-1.18942,1.55575,
-0.635719,-0.148794,-1.42178,-1.20879,0.329542,-1.20792,1.58642,
-0.644637,-0.13897,-1.45396,-1.25431,0.330301,-1.23278,1.62698,
-0.653555,-0.129146,-1.48614,-1.29983,0.33106,-1.25764,1.66754,
-0.662474,-0.119322,-1.51832,-1.34534,0.33182,-1.2825,1.7081,
-0.671392,-0.109497,-1.55049,-1.39086,0.332579,-1.30736,1.74866,
-0.68031,-0.0996733,-1.58267,-1.43638,0.333339,-1.33222,1.78922,
-0.689228,-0.0898491,-1.61485,-1.48189,0.334098,-1.35708,1.82978,
-0.698147,-0.080025,-1.64703,-1.52741,0.334857,-1.38194,1.87034,
-0.707065,-0.0702008,-1.67921,-1.57293,0.335617,-1.4068,1.9109,
-0.715983,-0.0603766,-1.71139,-1.61844,0.336376,-1.43166,1.95146,
-0.69957,-0.0428423,-1.70539,-1.65234,0.30379,-1.44249,2.01262,
-0.683157,-0.0253081,-1.69939,-1.68624,0.271205,-1.45332,2.07379,
-0.666743,-0.00777379,-1.69339,-1.72014,0.238619,-1.46415,2.13495,
-0.65033,0.00976049,-1.68739,-1.75404,0.206033,-1.47499,2.19612,
-0.633917,0.0272948,-1.68139,-1.78793,0.173447,-1.48582,2.25728,
-0.617503,0.044829,-1.67539,-1.82183,0.140862,-1.49665,2.31845,
-0.60109,0.0623633,-1.6694,-1.85573,0.108276,-1.50748,2.37962,
-0.584677,0.0798976,-1.6634,-1.88963,0.0756902,-1.51831,2.44078,
-0.557823,0.0666345,-1.66507,-1.88381,0.101823,-1.46515,2.38799,
-0.530968,0.0533715,-1.66675,-1.878,0.127955,-1.412,2.3352,
-0.504114,0.0401084,-1.66843,-1.87218,0.154087,-1.35884,2.28241,
-0.47726,0.0268453,-1.6701,-1.86637,0.180219,-1.30568,2.22962,
-0.450406,0.0135822,-1.67178,-1.86055,0.206352,-1.25252,2.17683,
-0.423551,0.000319173,-1.67346,-1.85474,0.232484,-1.19936,2.12404,
-0.396697,-0.0129439,-1.67513,-1.84892,0.258616,-1.14621,2.07125,
-0.369843,-0.026207,-1.67681,-1.84311,0.284749,-1.09305,2.01846,
-0.342989,-0.03947,-1.67849,-1.83729,0.310881,-1.03989,1.96566,
-0.316134,-0.0527331,-1.68016,-1.83148,0.337013,-0.986734,1.91287,
-0.28928,-0.0659962,-1.68184,-1.82566,0.363146,-0.933577,1.86008,
-0.262426,-0.0792593,-1.68352,-1.81985,0.389278,-0.880419,1.80729,
-0.235571,-0.0925223,-1.68519,-1.81403,0.41541,-0.827261,1.7545,
-0.208717,-0.105785,-1.68687,-1.80822,0.441543,-0.774103,1.70171,
-0.162456,-0.125692,-1.7197,-1.78746,0.430218,-0.793668,1.68146,
-0.116196,-0.145598,-1.75253,-1.76671,0.418894,-0.813233,1.66122,
-0.0699349,-0.165505,-1.78537,-1.74595,0.40757,-0.832798,1.64097,
-0.0236742,-0.185411,-1.8182,-1.7252,0.396246,-0.852362,1.62072,
0.0225866,-0.205318,-1.85103,-1.70444,0.384922,-0.871927,1.60047,
0.0688473,-0.225224,-1.88386,-1.68369,0.373598,-0.891492,1.58022,
0.115108,-0.245131,-1.91669,-1.66293,0.362273,-0.911057,1.55998,
0.161369,-0.265037,-1.94953,-1.64218,0.350949,-0.930621,1.53973,
0.20763,-0.284944,-1.98236,-1.62142,0.339625,-0.950186,1.51948,
0.25389,-0.30485,-2.01519,-1.60067,0.328301,-0.969751,1.49923,
0.300151,-0.324757,-2.04802,-1.57991,0.316977,-0.989316,1.47898,
0.346412,-0.344663,-2.08086,-1.55915,0.305653,-1.00888,1.45874,
0.392673,-0.36457,-2.11369,-1.5384,0.294329,-1.02844,1.43849,
0.438933,-0.384476,-2.14652,-1.51764,0.283004,-1.04801,1.41824,
0.475026,-0.402847,-2.1675,-1.4991,0.242713,-1.09093,1.42221,
0.51112,-0.421217,-2.18847,-1.48057,0.202422,-1.13384,1.42618,
0.547213,-0.439588,-2.20945,-1.46203,0.16213,-1.17676,1.43015,
0.583306,-0.457958,-2.23043,-1.44349,0.121839,-1.21968,1.43412,
0.619399,-0.476329,-2.2514,-1.42495,0.0815473,-1.2626,1.43808,
0.655492,-0.494699,-2.27238,-1.40641,0.0412558,-1.30552,1.44205,
0.691585,-0.513069,-2.29336,-1.38787,0.000964387,-1.34843,1.44602,
0.727678,-0.53144,-2.31433,-1.36933,-0.0393271,-1.39135,1.44999,
0.763771,-0.54981,-2.33531,-1.35079,-0.0796185,-1.43427,1.45396,
0.799865,-0.568181,-2.35628,-1.33225,-0.11991,-1.47719,1.45793,
0.835958,-0.586551,-2.37726,-1.31372,-0.160201,-1.5201,1.4619,
0.872051,-0.604921,-2.39824,-1.29518,-0.200493,-1.56302,1.46587,
0.908144,-0.623292,-2.41921,-1.27664,-0.240784,-1.60594,1.46984,
0.944237,-0.641662,-2.44019,-1.2581,-0.281076,-1.64886,1.47381,
0.98033,-0.660033,-2.46117,-1.23956,-0.321367,-1.69177,1.47777,
1.01642,-0.678403,-2.48214,-1.22102,-0.361659,-1.73469,1.48174,
1.05252,-0.696774,-2.50312,-1.20248,-0.40195,-1.77761,1.48571,
